GICS.Industry,total_area,coastal_risk_reduction_service_adj_sum,nitrogen_retention_service_adj_sum,sediment_retention_service_adj_sum,endemic_biodiversity_adj_sum,redlist_species_adj_sum,species_richness_adj_sum,kba_within_1km_adj_sum
Chemicals,5704021.021,30876.88698,3290292087,6289448668,0.00012527,392.015263,1.90027878,4.217919034
Chemicals,896814.0786,24870.33864,394104134.8,60970140.11,1.66E-05,75.30633366,0.309537126,0.315904522
Chemicals,509347.2318,191.4010567,64990820.71,184400648.7,6.78E-05,67.17168639,0.190807537,0.711947676
Chemicals,2100437.333,127609.9225,543747459.2,341331847.8,9.27E-05,164.2762324,0.872819337,0.331191458
Chemicals,227433.3962,5673.593745,249396369.1,128385552.9,5.53E-05,34.14607783,0.071654133,0.031220057
Chemicals,755361.9491,7218.317934,550683351.4,24592184.9,1.88E-05,56.51867483,0.28755928,0.378344636
Chemicals,4944023.691,69149.04839,2540607345,1167125901,0.000160673,356.5849478,1.7718498,5.510818626
Chemicals,2116336.567,42505.22611,556204041.8,32491361.32,3.57E-05,108.0300726,0.585655157,3.147103281
Chemicals,389377.4852,233.7063815,156263965.1,54532978.09,1.56E-05,39.04083664,0.130679043,0.393631573
Chemicals,3744958.091,62949.76538,40584737.31,111203534.7,0.001246892,594.6759987,1.841577318,1.169858696
Chemicals,2085665.718,47599.94004,612579648,1414692235,7.68E-05,170.7151975,0.838979354,0.378344636
Chemicals,1757783.896,61173.36541,290028784.5,662749980.9,0.000142948,228.1393163,0.578591308,2.853600203
Chemicals,1406228.397,12705.09205,720753016.2,67468161.09,0.000110478,125.2204375,0.541874457,0.868047962
Chemicals,617681.3265,19362.09554,167945960.4,17626097.42,2.22E-05,55.33980584,0.238841672,0.630516676
Chemicals,275426.0557,4383.858036,66290401.84,11945015.58,1.39E-05,26.48875144,0.136867062,0.047153178
Chemicals,15916899.96,6400.850737,3964516127,4954014970,0.000650437,2123.332115,8.061641001,7.342916708
Chemicals,1624127.744,28224.25368,270620845,653222507.5,0.000211334,157.0696115,0.543066626,2.071538298
Chemicals,42205.23373,4907.710909,2215604.077,1202805.492,8.82E-07,10.64173769,0.022874602,0.187320343
Chemicals,4722331.223,46715.96333,2418889309,976791585.9,0.000325656,329.5786604,1.633778905,8.247332954
Chemicals,2064956.716,115126.1672,337302436.3,38939588.44,3.49E-05,136.7610464,0.775727121,0.542411482
Chemicals,5326066.991,39793.05849,964329248.2,283950504.6,0.000161391,796.4630034,2.658547794,0.047153178
Chemicals,15483.00658,1035.345269,109999.688,1772.008738,1.94E-05,3.566840724,0.007370126,0
Chemicals,184462.9978,19288.54149,41537545,1746310.437,1.38E-05,16.56655042,0.07426642,0.062440114
Chemicals,2814345.905,30500.59125,1273845782,269185220.5,8.58E-05,211.0060245,1.105162957,0.275791917
Chemicals,151787.8048,56023.23553,17872490.63,1353819.17,1.94E-06,9.968081127,0.057383643,0
Chemicals,1765124.504,0,1853802171,58813918.34,3.31E-05,189.5370119,0.653105914,0.505636447
Chemicals,1352908.063,0,38835438.66,8990877.663,1.60E-05,119.1223414,0.321640904,0
Chemicals,166112.0295,0,54865756,8634651.483,1.29E-05,14.00193223,0.053878016,0.284038281
Chemicals,1070268.747,252.2624076,84384232.66,6754680.07,2.35E-05,104.0185723,0.342387942,3.908030826
Chemicals,383733.5319,0,192111317,7620158.902,8.88E-06,25.91342692,0.141661728,0.727234613
Chemicals,101043.4967,0,0,0,1.37E-07,25.88466704,0.002995658,0
Chemicals,5619.610292,0,0,0,1.38E-07,1.498562745,0.003031598,0
Chemicals,2766099.012,118442.9339,44427088.97,33284906.48,0.000174415,233.6025624,0.982960541,8.45033529
Chemicals,962292.3532,3540.410255,409081598.2,39652623.99,2.72E-05,75.43202411,0.349539726,0.284038281
Chemicals,312497.2664,1783.784338,72777078.22,9860592.037,5.27E-06,19.3099976,0.092555669,0.268751344
Chemicals,1269338.13,68680.79953,805266979.8,122984691.2,1.74E-05,73.6559201,0.419189964,1.042492951
Chemicals,574158.2547,2787.013445,287306367.3,34327917.62,7.39E-06,42.2069015,0.210207854,0.109593292
Chemicals,3309932.129,0,7320869.031,1208443.962,9.88E-05,117.5491074,0.874447755,0
Chemicals,4391664.186,25803.6928,169514118.3,45280308.41,0.000238482,254.6267463,1.374437786,0.062440114
Chemicals,1988207.122,0,136170.5843,205021.5139,0.000133033,103.7374356,0.90680684,0
Chemicals,192058.0571,0,458516056.7,20287227.45,4.83E-06,35.84077209,0.07426712,0
Chemicals,1123424.865,633.01911,131420722.1,31818393.79,2.88E-05,99.58240583,0.517717517,0
Chemicals,62366.11109,0,7094583.931,3202940.393,3.17E-06,6.474140503,0.02866035,0
Chemicals,5619.610291,0,22426994.51,1332337.669,2.48E-07,1.561002859,0.003525871,0
Chemicals,5619.610292,0,17592717.01,2402121.651,2.44E-07,1.561002859,0.003513163,0
Chemicals,5619.610291,0,2139340.681,91865.87678,2.35E-07,1.498562744,0.003499825,0
Chemicals,5619.610292,0,6232254.212,8031505.569,3.92E-07,1.248802287,0.003981331,0
Chemicals,11239.22058,0,3847.268622,9741.301753,2.52E-08,0.99904183,0.001603411,0
Chemicals,11239.22058,0,3847.268622,9741.301753,2.52E-08,0.99904183,0.001603411,0
Chemicals,670725.9,0,7954870830,5812486116,7.54E-05,133.7526676,0.450956601,0
Chemicals,5619.610291,0,9660518.698,740567.2922,2.07E-07,1.467342687,0.003546261,0
Chemicals,75314.51146,0,2810993.793,8075059.553,8.34E-06,7.618349602,0.023489365,0.221598166
Chemicals,5619.610292,0,5742672.764,0.000337524,4.91E-07,1.623442973,0.003553456,0
Chemicals,2664314.233,23955.99633,906702436.5,1408953296,4.32E-05,182.7199494,0.928789042,0.61643553
Chemicals,5619.610292,0,2.04821244,22.26604036,1.47E-08,0.4370808,0.000990976,0
Chemicals,5619.610292,0,2.04821244,22.26604036,1.47E-08,0.4370808,0.000990976,0
Chemicals,5619.610292,0,2.04821244,22.26604036,1.47E-08,0.4370808,0.000990976,0
Chemicals,9348325.74,5752.556834,1135338026,68835813.91,0.000115707,684.2761583,3.016379662,0
Chemicals,1278854.555,1304.431262,220860770.6,14327831.59,1.20E-05,76.5345538,0.415997833,0.899870915
Chemicals,5619.610292,356.5394555,0,0,8.47E-08,0,0.00148801,0
Chemicals,1385063.785,59.57252961,426056940.3,271280435.4,2.52E-05,108.7268479,0.478087546,2.404569089
Chemicals,268365.8105,0,109699591.7,7126042.721,4.86E-06,18.58530319,0.098824927,0
Chemicals,543129.7042,0,168485325.4,32157116.33,6.58E-06,39.71581145,0.201881988,0
Chemicals,5619.610292,0,18324635.04,1864314.706,1.01E-07,2.122963888,0.002509121,0
Chemicals,5619.610291,0,0,0,1.97E-07,1.311242401,0.002797025,0
Chemicals,5619.610292,0,14308119.24,1052899.8,3.20E-07,1.248802287,0.001547021,0
Chemicals,702615.5733,116515.5355,130648079,700810121,4.09E-05,43.51835809,0.17487644,0.664794499
Chemicals,25563.44526,945.5952985,21862.98242,686.1974949,8.18E-07,1.988267964,0.011772844,0
Chemicals,1292071.5,3237.025777,1557548549,20683869.71,1.07E-05,68.22474001,0.403801001,1.579349455
Chemicals,5619.610293,0,6594265.512,58542.82878,1.55E-07,1.186362173,0.00258945,0
Chemicals,166329.0719,0,27921250.31,6251827.4,1.99E-06,10.34367166,0.056735887,0
Chemicals,146113.0973,0,52530934.42,51958077.78,4.82E-06,22.63282977,0.045829792,0.219186584
Chemicals,5619.610292,0,11869343.24,0,8.62E-08,0.811721487,0.002083567,0
Chemicals,5619.610292,0,34607620.2,586122.731,1.99E-07,0.749281372,0.002533258,0
Chemicals,5619.610292,0,40816005.81,1998991.913,1.95E-07,0.749281372,0.002535822,0
Chemicals,5619.610292,0,121620.7065,2292.349528,1.27E-07,0.936601715,0.002446291,0
Chemicals,1331588.404,0,3235323258,8903552507,3.37E-05,222.118721,0.537818821,0
Chemicals,5619.610293,0,1434843.607,34892.67154,1.35E-07,1.186362173,0.002253239,0
Chemicals,5619.610292,0,2926820.918,14778.16529,1.03E-07,0.936601715,0.002307447,0
Chemicals,284065.8595,0,96898304.87,95261335.96,2.49E-05,25.22127306,0.101534599,0
Chemicals,302799.4101,8601.062302,104951095.2,343015268.7,3.91E-06,23.64738407,0.113892376,0
Chemicals,5619.610291,0,5271156.988,42888.06572,9.74E-08,0.999041829,0.002206362,0
Chemicals,1725070.509,8195.783754,143722261.5,76560587.21,0.000176126,216.4931685,0.517971314,3.908030826
Chemicals,5619.610291,0,0,0,8.34E-08,0.999041829,0.001974478,0
Chemicals,332875.1862,0.60451603,71168764.9,34451690.93,2.52E-05,31.51473329,0.111532902,0.671835072
Chemicals,899530.3493,268121.1826,126944000.7,297117688.4,7.16E-05,87.77236562,0.240416852,0
Chemicals,2593143.78,0,496855945.2,2620260.957,2.13E-05,117.663255,0.712400009,14.68583342
Chemicals,15483.00657,0,969047.222,8520637.945,4.73E-07,1.998083659,0.003437024,0
Chemicals,5619.610292,0,19477445.39,2264047.077,6.40E-08,0.749281372,0.001706637,0
Chemicals,5619.610292,0,19987785.93,1500867.284,6.40E-08,0.749281372,0.001706637,0
Chemicals,5619.610292,0,3981127.244,18944.68582,5.39E-08,0.99904183,0.001609973,0
Chemicals,666482.114,0,332.4840051,134.1384086,4.04E-06,59.18041447,0.061404692,0
Chemicals,15483.00657,0,6089684.284,79237.95216,2.16E-07,2.690094388,0.004590654,0
Chemicals,36802.66584,0,4130709.534,2066844.189,6.34E-07,4.332830019,0.013331849,0
Chemicals,5619.610292,0,15301929.08,60941.00917,7.77E-08,0.936601715,0.00166883,0
Chemicals,5619.610293,3577.775138,0,0,5.58E-08,0.99904183,0.001555401,0
Chemicals,5619.610292,0,9532336.638,19221.10821,3.69E-08,0.686841258,0.00133878,0
Chemicals,5619.610292,0,483761.3734,638863.835,3.48E-08,0.686841258,0.001231092,0
Chemicals,5619.610291,0,98963.0153,688.6712287,6.59E-08,0.624401143,0.001660238,0
Chemicals,5619.610292,0,11820637.95,198026.5748,2.79E-08,0.749281372,0.001205046,0
Chemicals,196467.383,0,272082.5367,83555.48002,5.58E-07,15.59299703,0.027231227,2.120530808
Chemicals,5619.610292,0,192169.6141,1564.824145,2.42E-08,0.124880229,0.001244376,0
Construction Materials,228809.2205,0,42322343.4,8226221.852,8.30E-06,65.38424289,0.14291417,1.357179039
Construction Materials,10812710.73,77289.82869,4080385953,3157430996,0.000148557,861.6872406,4.051344781,4.162067482
Construction Materials,676345.5103,0,130441499.9,161593612.8,0.000178277,156.6874456,0.454496279,0
Construction Materials,4172560.12,28580.45885,1823147320,988895360.7,0.00010508,298.3819448,1.458427243,5.077194688
Construction Materials,3143351.131,37111.66328,1062383204,484480870.5,0.000288524,271.8726472,1.189583609,1.516909341
Construction Materials,1222501.669,3769.192237,1719236744,68557704.85,2.50E-05,316.444062,0.52775587,0
Construction Materials,211950.3896,28358.82285,25297995.2,117814722.2,1.79E-05,20.91143279,0.049065229,0.047153178
Construction Materials,127765.7238,31876.81694,2754117.88,994403.2787,7.49E-05,6.326907958,0.012633316,0.124880229
Construction Materials,397178.5521,0,71988972.67,2305376.049,5.62E-06,117.2127526,0.147258751,0
Construction Materials,1723249.565,0,6885700037,13755391715,5.43E-05,331.9267282,0.795232517,2.120530808
Construction Materials,6389684.543,8676.61842,2123336449,1220326118,9.50E-05,472.5370018,2.391071045,0.948832779
Construction Materials,1336628.284,13577.37006,274422697.2,88070254.16,4.32E-05,91.89325479,0.535349101,0
Construction Materials,143633.5883,0,63567067.51,4230962.115,4.18E-06,12.21722518,0.059328983,0
Construction Materials,1424891.196,598.2673317,234777730.8,47578805.64,0.000191369,118.0985093,0.623701899,0
Construction Materials,291891.2694,0,177697244.2,15527349.38,3.96E-06,42.03719202,0.104510368,0
Construction Materials,691828.5169,0,573285814,5356610.755,7.69E-06,100.2901395,0.219882861,0
Containers & Packaging,5754044.225,2517.740974,1457663436,237751105.1,9.70E-05,478.1929488,2.318139496,0
Containers & Packaging,1622203.795,831.1935602,776643930.3,385649286.5,2.46E-05,95.422493,0.50567198,4.095351169
Containers & Packaging,483709.6759,18704.38599,161935309.4,67608693.32,3.36E-05,40.37577962,0.185867195,0.109593292
Containers & Packaging,667633.8514,12733.50759,354682325.1,161519902.8,2.64E-05,39.13923917,0.204656601,0.505636447
Containers & Packaging,296363.1327,0,125686343.6,5836228.819,2.33E-05,19.65036047,0.097042019,0.109593292
Containers & Packaging,4336689.324,23666.30816,925613558.1,293891343.8,6.76E-05,369.4525224,1.648672927,0
Containers & Packaging,595954.7419,85675.84469,268773739.7,27755957.88,1.78E-05,35.9779631,0.21192403,0.221598166
Containers & Packaging,5619.610294,0,22029813.45,37554993.42,2.46E-07,1.561002859,0.003525143,0
Containers & Packaging,582406.7145,0,689614378.6,2614020540,7.60E-05,130.5668004,0.473722487,0
Containers & Packaging,15483.00657,0,18969196.54,1148315.288,3.99E-07,1.470573606,0.003740831,0
Containers & Packaging,1386502.147,2655.885942,728537568.5,248062381.3,1.73E-05,82.69160844,0.446476328,1.139210888
Containers & Packaging,1284196.861,0,332570921.5,16118538.25,1.42E-05,104.0324373,0.499177685,0
Containers & Packaging,269857.9479,0,57325247.08,38675742.38,3.89E-06,22.22206002,0.103608619,0
Metals & Mining,82897970.04,3164.992177,5770882467,16811856768,0.001415076,5993.459422,25.8853336,13.91847201
Metals & Mining,14743816,68430.2734,86486694.03,798484.3665,3.25E-05,701.5993968,2.038671037,0
Metals & Mining,14081511.29,54966.00662,801225759.7,767686088.2,0.000245365,1279.7263,5.336493107,9.767428551
Metals & Mining,73242119.06,579.552749,3881727706,20864743869,0.002080438,8279.652185,31.92075092,45.27629016
Metals & Mining,17785934.43,2632.455077,2510748932,40103562346,0.003777437,2372.561698,10.70650254,14.68583342
Metals & Mining,152585092.1,207702.8451,6879771816,1.04991E+11,0.006467541,14602.38393,64.35597533,152.7102352
Metals & Mining,14196343.49,0,189670029,2632544956,0.000176561,966.9986459,3.736997027,0.148456818
Metals & Mining,15205457.2,0,472725200.2,3560392947,0.002067035,1948.845065,7.453428876,0
Metals & Mining,1988207.121,1223.447232,9645807.806,236862583.3,0.000720869,228.9416604,0.451508147,7.342916708
Metals & Mining,41631799.17,554.9834014,4208297857,15579229855,0.001829214,2263.503974,16.92010509,20.16364939
Metals & Mining,78907376.89,662988.8115,16071269436,2.08325E+11,0.009458168,14715.27648,50.3873473,175.5274913
Metals & Mining,64505760.67,25.19620025,1085036321,17447656352,0.00352126,4090.021317,20.09077415,15.08152132
Metals & Mining,30506338.28,0,1012554350,8740985217,0.000777585,1806.642509,8.923041333,14.68583342
Metals & Mining,50510405.65,344621.16,363084591.9,23141743948,0.003206218,3285.492566,20.61979482,2.270009609
Metals & Mining,76748716.43,48240.71129,1932645961,10362220880,0.003951522,5230.398269,26.90801997,43.5818206
Metals & Mining,17979757.94,0,1646321957,2843957281,0.001743097,2073.159199,10.40731317,29.48126012
Metals & Mining,23266709.47,321393.7667,1008271463,7847031373,0.001445241,1845.778458,5.299553242,26.28714264
Metals & Mining,27116465.27,0,1308017.33,321160.3715,0.000362966,299.7718296,9.182508051,0.124880229
Metals & Mining,19269846.33,97560.67108,903736040.7,427047956.9,0.000753085,1955.691959,7.700083978,28.81621376
Metals & Mining,4721078.83,0,124558407.1,259815746.1,6.90E-05,321.7454908,1.413817821,0
Metals & Mining,27832380.68,23532.28949,1837364108,1818471770,0.001398814,2850.168769,13.75786007,27.84114094
Metals & Mining,15122757.62,0,795724979.4,24919750989,0.001981919,889.605467,3.615296044,1.060265404
Metals & Mining,35125766.94,2640.909679,3904860917,22407346069,0.00143995,1667.18146,12.55453954,89.64962153
Metals & Mining,38712764.85,76421.38797,8962268678,88290357454,0.001328586,4735.320744,15.27747068,9.91825212
Metals & Mining,12671538.25,0,104789719.8,5325745724,0.001444991,853.1211059,3.870656687,44.05750025
Metals & Mining,17378892.48,0,2754378016,3637149687,0.00142846,2147.188811,8.200627291,7.342916708
Metals & Mining,32733544.33,0,25802677046,25908804990,0.001049151,7752.649779,15.2171628,29.43410695
Metals & Mining,20393684.29,89638.10967,11313444657,14167863941,0.000609843,3863.440569,9.73463454,0.109593292
Metals & Mining,19197354.45,0,647934868.3,16405494029,0.001489539,1086.945028,5.813408572,13.89284906
Metals & Mining,14338708.25,69110.15303,992916120.3,3602556091,0.001133118,1231.104798,5.160571942,0
Metals & Mining,33263563.15,0,5270291710,86573680235,0.001241297,1927.727249,14.11800834,29.37166683
Metals & Mining,3395110.037,595.7505708,1517339884,9648397926,0.006603508,749.6898893,3.267222302,14.74827353
Metals & Mining,3982033.853,0,12843601.09,167798472.5,0.000202868,324.9615386,1.325201241,0
Metals & Mining,37058993.01,128.8407552,5031337968,9219866261,0.000834661,4720.148715,19.45711028,66.31584324
Metals & Mining,3309932.129,3272.084178,129068257.2,3241547326,0.000635819,458.0956069,1.808819392,0
Metals & Mining,3970794.633,0,247708298.3,410391664.9,0.000140989,500.2362007,3.010301865,7.342916708
Metals & Mining,5830521.141,85.61299061,2437750642,17121848955,9.19E-05,645.6075084,1.979549536,0
Metals & Mining,16068515.96,0,32296819751,21943522191,0.000339045,4072.786852,7.647303139,15.90965287
Metals & Mining,1214455.229,40874.25104,4735027.832,98033.61772,0.000216577,132.7307041,0.261437464,0
Metals & Mining,8532483.552,309.0472265,978125564.4,4013446743,0.000660112,1961.20542,5.112278467,0
Metals & Mining,16994031,455992.4586,1428930275,13540326147,0.001413062,1991.637826,7.041346724,11.26058381
Metals & Mining,14548838.48,0,524711.7331,80598.54104,0.00032527,349.5791691,4.520982139,0.109593292
Metals & Mining,18556335.05,7.984074204,565060865.2,684085443.7,0.000351544,2333.490013,9.401519229,14.74827353
Metals & Mining,670725.9,0,81014566.27,1482844033,0.000165892,111.1300903,0.181379595,0
Metals & Mining,9863.396282,0,8099055.447,4091091.175,4.64E-07,0.377225421,0.00223939,0.031220057
Metals & Mining,12661674.85,0,3385549.936,891.8628856,3.02E-05,1183.165277,1.580724536,0.023576589
Metals & Mining,2109194.453,0,607653.8921,339519500.5,0.000228325,426.5703548,1.266455985,0.228638739
Metals & Mining,6959634.149,233906.6231,44747493.03,103566904.7,0.000495889,410.296433,3.350223853,1.242366503
Metals & Mining,5292519.64,24594.45824,485747.6246,53046.23979,0.000309179,367.7702366,2.055468089,0.062440114
Metals & Mining,9928420.563,0,240126096.5,457285729,0.000470453,707.8142064,4.105534309,0.047153178
Metals & Mining,9918557.166,0,10012058.41,378528.8332,0.000407281,411.8277368,4.129218206,0.062440114
Metals & Mining,1327344.618,0,540800595.8,52924382.67,0.000337327,222.348025,0.527462761,0
Metals & Mining,14262172.42,-3.30E-13,3764987275,570451572.2,7.83E-05,733.9821741,4.261009512,20.42112343
Metals & Mining,5619.610293,0,2979206.176,141749.7057,2.28E-07,1.436122631,0.003453128,0
Metals & Mining,3970794.633,0,710487666.2,104918137.2,9.14E-05,199.0704726,1.060877699,14.68583342
Metals & Mining,5953382.144,0,170856919.1,671599099.2,0.000261273,1022.651012,3.928802121,11.53886911
Metals & Mining,11244525.96,0,707468886.7,1602424431,0.00041436,2037.49325,6.528037973,0
Metals & Mining,15483.00657,0,112124561.3,3224443.244,1.68E-06,2.924567908,0.006488736,0
Metals & Mining,4243.785989,0,27912888.6,1436655.284,1.43E-07,0.707297665,0.002404314,0
Metals & Mining,978972.3359,223.540866,309566020,21486537.51,1.98E-05,80.07408713,0.396651504,0
Metals & Mining,15483.00657,0,177397330,137333680.2,6.53E-07,2.470907804,0.0079745,0
Metals & Mining,110906.893,0,212437309.7,1198484630,2.40E-06,19.54474756,0.050458144,0
Metals & Mining,3848635.133,0,3835519341,3938195937,3.04E-05,109.5738433,1.067339805,8.19624562
Metals & Mining,145951.1521,0,103403375.5,128359378.5,1.70E-06,11.6877709,0.056378719,0
Metals & Mining,666482.114,0,39626696.01,470923.329,1.11E-05,22.84047161,0.237882788,0
Metals & Mining,5619.610293,0,5500424.603,336174.766,1.41E-07,0.99904183,0.0024794,0
Metals & Mining,5619.610292,0,2413839.413,255819.7242,7.50E-07,2.747365032,0.005169968,0
Metals & Mining,5619.610292,0,30169480.77,350767.6762,7.50E-08,0.936601715,0.001951985,0
Metals & Mining,27781283.89,51934.27243,14634846766,32955747420,0.000285414,2220.505618,10.06303999,0.109593292
Metals & Mining,106663.107,0,83768149.7,337545.1053,1.04E-06,14.53394817,0.03077058,0
Metals & Mining,21102.61687,0,14863918.71,8345423.665,6.06E-07,3.09401658,0.006257,0
Metals & Mining,31183.05555,2229.504772,2070741.128,44206.77053,2.49E-07,3.333788189,0.009883318,0.062440114
Metals & Mining,9863.39628,0,2155118.332,145179.3846,9.35E-08,1.64389938,0.002736569,0
Metals & Mining,1988207.122,0,1698998487,2726223252,1.54E-05,221.0992227,0.533662913,7.342916708
Metals & Mining,1327344.618,0,594076386.8,96535631.19,7.04E-06,169.6363657,0.269475578,7.342916708
Paper & Forest Products,1292847.698,-5.24E-14,47834083.02,229493.3822,5.16E-06,64.24639038,0.250370071,1.060265404
Paper & Forest Products,2528349.27,3651.538394,1594251976,40536482.86,1.34E-05,141.0026162,0.581198215,3.908030826
Paper & Forest Products,2907011.314,9792.625806,794237929.8,4489633.921,1.60E-05,130.1246475,0.654799384,4.871578292
Paper & Forest Products,1434441.026,245.5044235,547657063.7,1344858045,2.16E-05,96.68194672,0.381046953,0.221598166
Paper & Forest Products,444889.3586,0,227755870.2,267694526.1,3.86E-06,22.04968802,0.126415527,0.284038281
Paper & Forest Products,335588.6405,11131.86554,42897735.02,99518552.99,0.000149361,102.0122499,0.298557159,0
Paper & Forest Products,217569.9999,1403.007418,8332076.283,71550034.41,3.37E-05,27.68409635,0.121523633,0
Paper & Forest Products,1137250.194,86.61196247,130188013.2,42070959.31,9.64E-06,65.52345101,0.360151875,1.185145633
Paper & Forest Products,3853478.543,40158.53283,368541014.2,1371281713,0.000386835,406.4919894,1.116942222,4.746698064
Paper & Forest Products,5619.610291,0,8647449.323,100311.2457,5.48E-08,0.99904183,0.001628986,0
